,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
16,Груз 200,,2007,90,Россия,триллер,Алексей Балабанов,"['Агния Кузнецова', 'Алексей Полуян']",6.7,285696
17,Меланхолия,Melancholia,2011,130,Дания,фантастика,Ларс фон Триер,"['Кирстен Данст', 'Шарлотта Генсбур']",7.0,115291
18,Убить Билла,Kill Bill: Vol. 1,2003,111,США,боевик,Квентин Тарантино,"['Ума Турман', 'Люси Лью']",7.7,303610
19,Одержимость,Whiplash,2013,106,США,драма,Дэмьен Шазелл,"['Майлз Теллер', 'Дж.К. Симмонс']",8.4,461027
20,Социальная сеть,The Social Network,2010,120,США,драма,Дэвид Финчер,"['Джесси Айзенберг', 'Эндрю Гарфилд']",7.7,328451
21,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,201,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Вигго Мортенсен']",8.7,586310
22,Бёрдмэн,Birdman or (The Unexpected Virtue of Ignorance),2014,119,США,драма,Алехандро Гонсалес Иньярриту,"['Майкл Китон', 'Эдвард Нортон']",7.7,217815
23,1+1,Intouchables,2011,112,Франция,драма,Оливье Накаш,"['Франсуа Клюзе', 'Омар Си']",8.8,1969781
24,Амели,Le Fabuleux destin d'Amélie Poulain,2001,122,Франция,мелодрама,Жан-Пьер Жёне,"['Одри Тоту', 'Матьё Кассовиц']",8.0,362676
25,Белая лента,Das weiße Band - Eine deutsche Kindergeschichte,2009,144,Германия,триллер,Михаэль Ханеке,"['Леонард Проксауф', 'Мария-Виктория Драгуш']",7.3,13385
26,Трудности перевода,Lost in Translation,2003,102,США,драма,София Коппола,"['Билл Мюррей', 'Скарлетт Йоханссон']",7.2,100620
27,Джокер,Joker,2019,122,США,драма,Тодд Филлипс,"['Хоакин Феникс', 'Роберт Де Ниро']",8.0,600045
28,"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",2017,115,Великобритания,драма,Мартин Макдона,"['Фрэнсис Макдорманд', 'Сэм Рокуэлл']",8.1,437019
29,Воспоминания об убийстве,Salinui chueok,2003,131,Корея Южная,детектив,Пон Джун-хо,"['Сон Кан-хо', 'Ким Сан-гён']",7.6,127239
30,Всё везде и сразу,Everything Everywhere All at Once,2021,139,США,фантастика,Дэн Кван,"['Мишель Йео', 'Джейми Ли Кёртис']",7.2,557035
31,ВАЛЛ·И,WALL·E,2008,98,США,мультфильм,Эндрю Стэнтон,"['Бен Бертт', 'Элисса Найт']",8.4,680244
32,Древо жизни,The Tree of Life,2010,139,США,фэнтези,Терренс Малик,"['Брэд Питт', 'Шон Пенн']",6.6,55345
33,Бесславные ублюдки,Inglourious Basterds,2009,153,Германия,боевик,Квентин Тарантино,"['Брэд Питт', 'Кристоф Вальц']",8.0,607251
34,Дитя человеческое,Children of Men,2006,109,США,фантастика,Альфонсо Куарон,"['Клайв Оуэн', 'Клэр-Хоуп Эшити']",7.4,153815
35,Волк с Уолл-стрит,The Wolf of Wall Street,2013,180,США,драма,Мартин Скорсезе,"['Леонардо ДиКаприо', 'Джона Хилл']",8.0,1282268
36,Акт убийства,The Act of Killing,2012,117,Великобритания,документальный,Джошуа Оппенхаймер,[],7.6,3132
37,Стражи Галактики,Guardians of the Galaxy,2014,121,США,фантастика,Джеймс Ганн,"['Крис Пратт', 'Зои Салдана']",7.9,736751
38,Залечь на дно в Брюгге,In Bruges,2007,107,Великобритания,комедия,Мартин Макдона,"['Колин Фаррелл', 'Брендан Глисон']",7.8,291593
39,Отрочество,Boyhood,2014,166,США,драма,Ричард Линклейтер,"['Эллар Колтрейн', 'Итан Хоук']",7.4,52063
40,Отступники,The Departed,2006,151,США,триллер,Мартин Скорсезе,"['Леонардо ДиКаприо', 'Мэтт Дэймон']",8.5,465973
41,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,США,фэнтези,Гор Вербински,"['Джонни Депп', 'Джеффри Раш']",8.4,957523
42,Головоломка,Inside Out,2015,95,США,мультфильм,Пит Доктер,"['Эми Полер', 'Филлис Смит']",8.1,610354
43,Тони Эрдманн,Toni Erdmann,2016,162,Германия,драма,Марен Аде,"['Сандра Хюллер', 'Петер Симонишек']",6.8,18080
44,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,142,Великобритания,фэнтези,Альфонсо Куарон,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.2,665246
45,Серьёзный человек,A Serious Man,2009,106,Великобритания,драма,Итан Коэн,"['Майкл Стулбарг', 'Сари Ленник']",6.9,31122
