,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
382,Звёздные войны: Эпизод 5 — Империя наносит ответный удар,Star Wars: Episode V - The Empire Strikes Back,1980,124,США,фантастика,Ирвин Кершнер,"['Марк Хэмилл', 'Харрисон Форд']",8.0,16539
383,Человек-слон,The Elephant Man,1980,125,США,драма,Дэвид Линч,"['Энтони Хопкинс', 'Джон Хёрт']",7.9,6116
384,Чучело,,1983,127,СССР,драма,Ролан Быков,"['Кристина Орбакайте', 'Юрий Никулин']",7.9,13773
385,Конец Евангелиона,"Shinseiki Evangelion Gekijoban: Air/Magokoro wo, kimi ni",1997,87,Япония,аниме,Хидэаки Анно,"['Мэгуми Огата', 'Котоно Мицуиси']",7.9,4595
386,Сказки Серого Волка,Revolting Rhymes,2016,60,Великобритания,мультфильм,Ян Лахойер,"['Доминик Уэст', 'Роуз Лесли']",7.9,9172
387,Гринч,The Grinch,2018,85,Франция,мультфильм,Ярроу Чейни,"['Бенедикт Камбербэтч', 'Кэмерон Сили']",7.9,63073
388,Паразиты,Gisaengchung,2019,131,Корея Южная,драма,Пон Джун-хо,"['Сон Кан-хо', 'Ли Сон-гюн']",7.9,166527
389,Кошмар перед Рождеством,The Nightmare Before Christmas,1993,76,США,мультфильм,Генри Селик,"['Дэнни Элфман', 'Крис Сарандон']",7.9,15571
390,Брат,Hyeong,2016,110,Корея Южная,драма,Квон Су-гён,"['Чо Джон-сок', 'То Гён-су']",7.9,16683
391,На игле,Trainspotting,1995,93,Великобритания,драма,Дэнни Бойл,"['Юэн Макгрегор', 'Юэн Бремнер']",7.9,16387
392,Влюблен по собственному желанию,,1982,84,СССР,драма,Сергей Микаэлян,"['Олег Янковский', 'Евгения Глушенко']",7.9,16369
393,Дело было в Пенькове,,1957,100,СССР,драма,Станислав Ростоцкий,"['Майя Менглет', 'Вячеслав Тихонов']",7.9,17902
394,Город грехов,Sin City,2005,124,США,боевик,Фрэнк Миллер,"['Брюс Уиллис', 'Микки Рурк']",7.9,27928
395,Я шагаю по Москве,,1963,78,СССР,мелодрама,Георгий Данелия,"['Никита Михалков', 'Алексей Локтев']",7.9,18257
396,Рэмбо: Первая кровь,First Blood,1982,93,США,боевик,Тед Котчефф,"['Сильвестр Сталлоне', 'Ричард Кренна']",7.9,33716
397,Крепкий орешек,Die Hard,1988,133,США,боевик,Джон Мактирнан,"['Брюс Уиллис', 'Алан Рикман']",7.9,35305
398,Анжелика и король,Angélique et le roy,1965,100,Франция,мелодрама,Бернар Бордери,"['Мишель Мерсье', 'Робер Оссейн']",7.9,9519
399,Цельнометаллическая оболочка,Full Metal Jacket,1987,116,Великобритания,драма,Стэнли Кубрик,"['Мэттью Модайн', 'Адам Болдуин']",7.9,13146
400,Старший сын,,1975,134,СССР,драма,Виталий Мельников,"['Евгений Леонов', 'Николай Караченцов']",7.9,8549
401,Трансформеры,Transformers,2007,143,США,фантастика,Майкл Бэй,"['Шайа ЛаБаф', 'Меган Фокс']",7.9,70963
402,В центре внимания,Spotlight,2015,129,США,драма,Том Маккарти,"['Марк Руффало', 'Майкл Китон']",7.9,28963
403,Нечто,The Thing,1982,109,США,ужасы,Джон Карпентер,"['Курт Рассел', 'Кит Дэвид']",7.9,21222
404,Труп невесты,Corpse Bride,2005,77,США,мультфильм,Тим Бёртон,"['Джонни Депп', 'Хелена Бонем Картер']",7.9,21786
405,Миа и белый лев,Mia et le lion blanc,2018,98,Франция,драма,Жиль де Мэтр,"['Даниа Де Вилье', 'Мелани Лоран']",7.9,22595
406,Лило и Стич,Lilo & Stitch,2002,85,США,мультфильм,Дин ДеБлуа,"['Дэйви Чейз', 'Крис Сандерс']",7.9,22063
407,Большая игра,Molly's Game,2017,140,США,биография,Аарон Соркин,"['Джессика Честейн', 'Идрис Эльба']",7.9,52966
408,Доживем до понедельника,,1968,106,СССР,мелодрама,Станислав Ростоцкий,"['Вячеслав Тихонов', 'Ирина Печерникова']",7.9,11005
409,Схватка,Heat,1995,171,США,боевик,Майкл Манн,"['Аль Пачино', 'Роберт Де Ниро']",7.9,13306
410,Бесстрашный,Huo Yuan Jia,2006,104,Китай,боевик,Ронни Юй,"['Джет Ли', 'Сунь Ли']",7.9,41716
411,Лермонтов,,2014,69,Россия,драма,Максим Беспалый,"['Владимир Аблогин', 'Анна Леванова']",7.9,29613
412,Осенний марафон,,1979,89,СССР,драма,Георгий Данелия,"['Олег Басилашвили', 'Наталья Гундарева']",7.9,20821
413,Не/смотря ни на что,Mein Blind Date mit dem Leben,2017,111,Германия,комедия,Марк Ротемунд,"['Костя Улльман', 'Якоб Маченц']",7.9,42087
414,Астерикс и тайное зелье,Astérix: Le secret de la potion magique,2018,87,Франция,мультфильм,Александр Астье,"['Кристиан Клавье', 'Гийом Бриа']",7.9,34621
415,Город бога,Cidade de Deus,2002,130,Бразилия,драма,Фернанду Мейреллиш,"['Алешандре Родригис', 'Леандру Фирмину']",7.9,47803
416,Русалочка,The Little Mermaid,1989,83,США,мультфильм,Рон Клементс,"['Джоди Бенсон', 'Пэт Кэрролл']",7.9,27311
417,Мотылёк,Papillon,2017,133,США,драма,Михаэль Ноер,"['Чарли Ханнэм', 'Рами Малек']",7.9,69537
418,Рокки,Rocky,1976,120,США,драма,Джон Г. Эвилдсен,"['Сильвестр Сталлоне', 'Талия Шайр']",7.9,13896
419,"С любовью, Рози","Love, Rosie",2014,102,Великобритания,мелодрама,Кристиан Диттер,"['Лили Коллинз', 'Сэм Клафлин']",7.9,50172
420,Мачеха,Stepmom,1998,120,США,драма,Крис Коламбус,"['Джулия Робертс', 'Сьюзен Сарандон']",7.9,11849
421,Жираф Раф,Dikkertje Dap,2017,74,Нидерланды,семейный,Барбара Бредеро,"['Лиам де Фриз', 'Янник ван де Вельде']",7.9,10251
422,Голос семьи Белье,La famille Bélier,2014,106,Франция,драма,Эрик Лартиго,"['Карин Вьяр', 'Франсуа Дамиенс']",7.9,10100
423,Богемская рапсодия,Bohemian Rhapsody,2018,134,Великобритания,биография,Брайан Сингер,"['Рами Малек', 'Люси Бойнтон']",7.9,39671
424,Хранители,Watchmen,2009,162,США,фантастика,Зак Снайдер,"['Патрик Уилсон', 'Мэттью Гуд']",7.9,26009
425,Рок-волна,The Boat That Rocked,2009,129,Великобритания,драма,Ричард Кёртис,"['Том Стёрридж', 'Билл Найи']",7.9,8905
426,Терминатор,The Terminator,1984,108,США,фантастика,Джеймс Кэмерон,"['Арнольд Шварценеггер', 'Майкл Бин']",7.9,40460
427,Убить Билла 2,Kill Bill: Vol. 2,2004,137,США,боевик,Квентин Тарантино,"['Ума Турман', 'Дэвид Кэрредин']",7.9,16231
428,Английский пациент,The English Patient,1996,162,США,драма,Энтони Мингелла,"['Рэйф Файнс', 'Кристин Скотт Томас']",7.9,15472
429,Рапунцель: Запутанная история,Tangled,2010,100,США,мультфильм,Нэйтан Грено,"['Мэнди Мур', 'Закари Ливай']",7.9,44883
430,Бум,La boum,1980,114,Франция,драма,Клод Пиното,"['Клод Брассёр', 'Брижит Фоссе']",7.9,7213
431,RRR: Рядом ревёт революция,RRR,2022,187,Индия,боевик,С.С. Раджамули,"['НТР мл.', 'Рам Чаран Теджа']",7.9,45940
432,Маска,The Mask,1994,101,США,комедия,Чак Рассел,"['Джим Керри', 'Кэмерон Диас']",7.9,114341
433,Звездный путь,Star Trek,2009,127,США,фантастика,Джей Джей Абрамс,"['Крис Пайн', 'Закари Куинто']",7.9,27183
434,Отель Мумбаи: Противостояние,Hotel Mumbai,2018,123,США,боевик,Энтони Марас,"['Арми Хаммер', 'Джейсон Айзекс']",7.9,38191
435,Стальной гигант,The Iron Giant,1999,86,США,мультфильм,Брэд Бёрд,"['Эли Мариентал', 'Вин Дизель']",7.9,7270
436,Чего хотят женщины,What Women Want,2000,127,США,мелодрама,Нэнси Майерс,"['Мэл Гибсон', 'Хелен Хант']",7.9,89023
437,Жизнь Кабачка,Ma vie de Courgette,2016,66,Швейцария,мультфильм,Клод Баррас,"['Гаспар Шлэттер', 'Сикстин Мюра']",7.9,6849
438,Битва,,2019,85,Россия,драма,Анар Аббасов,"['Риналь Мухаметов', 'Анна Исаева']",7.9,12510
439,Индиана Джонс и последний крестовый поход,Indiana Jones and the Last Crusade,1989,127,США,приключения,Стивен Спилберг,"['Харрисон Форд', 'Шон Коннери']",7.9,16209
440,Как приручить дракона 2,How to Train Your Dragon 2,2014,105,США,мультфильм,Дин ДеБлуа,"['Джей Барушель', 'Кейт Бланшетт']",7.9,27034
441,Пальмы в снегу,Palmeras en la nieve,2015,163,Испания,драма,Фернандо Гонзалез Молина,"['Марио Касас', 'Адриана Угарте']",7.9,31341
442,Освобождение: Последний штурм,,1971,75,СССР,военный,Юрий Озеров,"['Николай Олялин', 'Михаил Ножкин']",7.9,5812
443,"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,2003,103,Корея Южная,драма,Ким Ки Дук,"['О Ён-су', 'Со Джэ-гён']",7.9,13245
444,Исчезнувшая,Gone Girl,2014,149,США,триллер,Дэвид Финчер,"['Бен Аффлек', 'Розамунд Пайк']",7.9,45905
445,Баллада о солдате,,1959,89,СССР,драма,Григорий Чухрай,"['Владимир Ивашов', 'Жанна Прохоренко']",7.9,6840
446,Безумный Макс: Дорога ярости,Mad Max: Fury Road,2015,120,Австралия,боевик,Джордж Миллер,"['Том Харди', 'Шарлиз Терон']",7.9,34145
447,Моя фея-проказница,Meine Chaosfee & ich,2022,80,Люксембург,мультфильм,Каролин Оригер,"['Йелла Хаазе', 'Люси Кэролан']",7.9,20196
448,Три тополя на Плющихе,,1968,79,СССР,мелодрама,Татьяна Лиознова,"['Татьяна Доронина', 'Олег Ефремов']",7.9,10808
449,Пончары. Глобальное закругление,Extinct,2020,82,США,мультфильм,Дэвид Силверман,"['Адам Дивайн', 'Рэйчел Блум']",7.9,32342
450,Принц пустыни,"Zodi & Tehu, frères du désert",2023,105,Франция,приключения,Эрик Барбье,"['Яссир Дриф', 'Александра Лами']",7.9,53775
451,Что гложет Гилберта Грейпа,What's Eating Gilbert Grape,1993,118,США,драма,Лассе Халльстрём,"['Джонни Депп', 'Леонардо ДиКаприо']",7.9,31641
452,Нефть,There Will Be Blood,2007,158,США,драма,Пол Томас Андерсон,"['Дэниэл Дэй-Льюис', 'Пол Дано']",7.9,15589
453,Начало,,1970,86,СССР,драма,Глеб Панфилов,"['Инна Чурикова', 'Валентина Теличкина']",7.9,7535
454,Разрисованная вуаль,The Painted Veil,2006,125,США,драма,Джон Кёрран,"['Наоми Уоттс', 'Эдвард Нортон']",7.9,31632
455,"Аты-баты, шли солдаты...",,1976,82,СССР,драма,Леонид Быков,"['Леонид Быков', 'Владимир Конкин']",7.9,9298
456,"Ганзель, Гретель и Агентство Магии",Secret Magic Control Agency,2021,104,Россия,мультфильм,Алексей Цицилин,"['Валерий Смекалов', 'Ирина Обрезкова']",7.9,18315
457,Пленницы,Prisoners,2013,153,США,триллер,Дени Вильнёв,"['Хью Джекман', 'Джейк Джилленхол']",7.9,24782
458,Беглецы,Les fugitifs,1986,95,Франция,драма,Франсис Вебер,"['Пьер Ришар', 'Жерар Депардье']",7.9,11744
459,Цветы войны,Jin ling shi san chai,2011,146,Китай,военный,Чжан Имоу,"['Кристиан Бэйл', 'Ни Ни']",7.9,12147
460,Лев Яшин. Вратарь моей мечты,,2019,120,Россия,биография,Василий Чигинский,"['Александр Фокин', 'Юлия Хлынина']",7.9,38003
461,Призрак в доспехах,Koukaku Kidoutai,1995,82,Япония,аниме,Мамору Осии,"['Ацуко Танака', 'Акио Оцука']",7.9,7821
462,Господин Никто,Mr. Nobody,2009,138,Бельгия,фантастика,Жако ван Дормель,"['Джаред Лето', 'Сара Полли']",7.9,39064
463,На гребне волны,Point Break,1991,117,Япония,боевик,Кэтрин Бигелоу,"['Патрик Суэйзи', 'Киану Ривз']",7.9,30774
464,Святые из Бундока,The Boondock Saints,1999,109,США,боевик,Трой Даффи,"['Уиллем Дефо', 'Шон Патрик Флэнери']",7.9,27951
465,Великий Гэтсби,The Great Gatsby,2013,143,Австралия,драма,Баз Лурман,"['Леонардо ДиКаприо', 'Тоби Магуайр']",7.9,34246
466,Хористы,Les Choristes,2004,95,Франция,драма,Кристоф Барратье,"['Жерар Жюньо', 'Франсуа Берлеан']",7.9,4680
467,Большой Лебовски,The Big Lebowski,1998,117,США,комедия,Джоэл Коэн,"['Джефф Бриджес', 'Джон Гудман']",7.9,24312
468,Уроки фарси,Persian Lessons,2020,128,Россия,драма,Вадим Перельман,"['Науэль Перес Бискаярт', 'Ларс Айдингер']",7.9,85764
469,Молодая жена,,1978,97,СССР,драма,Леонид Менакер,"['Анна Каменкова', 'Владлен Бирюков']",7.9,13532
470,Темные воды,Dark Waters,2019,126,США,драма,Тодд Хейнс,"['Марк Руффало', 'Энн Хэтэуэй']",7.9,42436
471,Бум 2,La boum 2,1982,109,Франция,драма,Клод Пиното,"['Софи Марсо', 'Клод Брассёр']",7.9,4355
472,Дело Коллини,Der Fall Collini,2019,123,Германия,детектив,Марко Кройцпайнтнер,"['Элиас М’Барек', 'Александра Мария Лара']",7.9,42756
473,Проверка на дорогах,,1971,97,СССР,драма,Алексей Герман,"['Ролан Быков', 'Анатолий Солоницын']",7.9,5590
474,Солярис,,1972,169,СССР,фантастика,Андрей Тарковский,"['Донатас Банионис', 'Наталья Бондарчук']",7.9,16536
475,Перед рассветом,Before Sunrise,1995,101,США,драма,Ричард Линклейтер,"['Итан Хоук', 'Жюли Дельпи']",7.9,5823
476,Труффальдино из Бергамо,,1976,138,СССР,мюзикл,Владимир Воробьев,"['Константин Райкин', 'Наталья Гундарева']",7.9,10003
477,Планета Ка-Пэкс,K-PAX,2001,120,Германия,фантастика,Иэн Софтли,"['Кевин Спейси', 'Джефф Бриджес']",7.9,17610
478,Школа магических зверей. Тайна подземелья,Die Schule der magischen Tiere 2,2022,103,Германия,мелодрама,Свен Унтервальдт мл.,"['Эмилия Майер', 'Лорис Сихровски']",7.9,34713
479,Со склонов Кокурико,Kokuriko-zaka kara,2011,91,Япония,аниме,Горо Миядзаки,"['Масами Нагасава', 'Дзюнъити Окада']",7.9,4490
480,История игрушек,Toy Story,1995,81,США,мультфильм,Джон Лассетер,"['Том Хэнкс', 'Тим Аллен']",7.9,23734
481,Планета сокровищ,Treasure Planet,2002,95,США,мультфильм,Рон Клементс,"['Роско Ли Браун', 'Кори Бертон']",7.9,14318
482,Одиннадцать друзей Оушена,Ocean's Eleven,2001,116,США,криминал,Стивен Содерберг,"['Джордж Клуни', 'Брэд Питт']",7.9,25913
483,Сёстры,,2001,83,Россия,драма,Сергей Бодров мл.,"['Оксана Акиньшина', 'Екатерина Горина']",7.9,49894
484,Семейка Бигфутов,Bigfoot Family,2020,89,Бельгия,мультфильм,Жереми Дегрюсон,"['Килиан Труийяр', 'Алексис Виктор']",7.9,31455
485,Вор,,1997,98,Россия,драма,Павел Чухрай,"['Владимир Машков', 'Екатерина Редникова']",7.9,26293
486,Мост в Терабитию,Bridge to Terabithia,2006,93,США,фэнтези,Габор Чупо,"['Джош Хатчерсон', 'Аннасофия Робб']",7.9,19058
487,Бука. Моё любимое чудище,,2021,98,Россия,мультфильм,Виктор Глухушин,"['Любовь Аксёнова', 'Алексей Чумаков']",7.9,40049
488,Гангстер,American Gangster,2007,157,США,драма,Ридли Скотт,"['Дензел Вашингтон', 'Рассел Кроу']",7.9,18557
489,Эта замечательная жизнь,It's a Wonderful Life,1947,130,США,фэнтези,Фрэнк Капра,"['Джеймс Стюарт', 'Донна Рид']",7.9,4302
490,Переводчик,The Covenant,2022,123,Великобритания,боевик,Гай Ричи,"['Джейк Джилленхол', 'Дар Салим']",7.9,792440
491,Белль и Себастьян: Приключения продолжаются,"Belle et Sébastien, l'aventure continue",2015,97,Франция,приключения,Кристиан Дюге,"['Феликс Боссюэ', 'Чеки Карио']",7.9,10336
492,Этому быть!,Presque,2021,92,Франция,драма,Бернар Кампан,"['Бернар Кампан', 'Александр Жольен']",7.9,43798
493,Шерлок Холмс,Sherlock Holmes,2009,128,США,боевик,Гай Ричи,"['Роберт Дауни мл.', 'Джуд Лоу']",7.9,48007
494,Облачный атлас,Cloud Atlas,2012,172,США,фантастика,Лана Вачовски,"['Том Хэнкс', 'Холли Берри']",7.9,54700
495,Иван Царевич и Серый Волк 4,,2019,88,Россия,мультфильм,Дарина Шмидт,"['Никита Ефремов', 'Иван Охлобыстин']",7.9,54061
496,Великая красота,La grande bellezza,2013,141,Италия,драма,Паоло Соррентино,"['Тони Сервилло', 'Карло Вердоне']",7.9,15995
497,Небесный тихоход,,1945,83,СССР,комедия,Семен Тимошенко,"['Николай Крючков', 'Василий Меркурьев']",7.9,10630
498,Полицейская история 2,Ging chaat goo si juk jaap,1988,101,Гонконг,боевик,Джеки Чан,"['Джеки Чан', 'Мэгги Чун']",7.9,8795
499,Самый быстрый Indian,The World's Fastest Indian,2005,127,Новая Зеландия,драма,Роджер Дональдсон,"['Энтони Хопкинс', 'Аарон Мерфи']",7.9,9279
