,ru_name,en_name,country,year,genre,rating,imdb_rating
151,Лучшее предложение,La migliore offerta,['Италия'],2013,"['драма', 'триллер']",8.0,7.8
152,Тот самый Мюнхгаузен,,['СССР'],1979,"['комедия', 'фэнтези']",8.0,8.3
153,Телохранитель,The Bodyguard,['США'],1992,"['драма', 'мелодрама', 'триллер', 'музыкальный']",8.0,6.4
154,Чужие,Aliens,"['США', 'Великобритания']",1986,"['триллер', 'боевик', 'приключения', 'фантастика']",8.0,8.4
155,Профессионал,Le professionnel,['Франция'],1981,"['драма', 'триллер', 'боевик', 'криминал']",8.0,7.4
156,Троя,Troy,"['США', 'Мальта', 'Великобритания']",2004,"['драма', 'боевик', 'приключения']",8.0,7.3
157,Шоу Трумана,The Truman Show,['США'],1998,"['драма', 'комедия', 'фантастика']",8.0,8.2
158,Головоломка,Inside Out,['США'],2015,"['комедия', 'мультфильмы', 'семейный']",8.0,8.1
159,Другие,The Others,"['США', 'Испания', 'Италия', 'Франция']",2001,"['триллер', 'ужасы']",8.0,7.6
160,Индиана Джонс и последний крестовый поход,Indiana Jones and the Last Crusade,['США'],1989,"['боевик', 'приключения']",8.0,8.2
161,Формула любви,,['СССР'],1984,"['мелодрама', 'комедия']",8.0,8.0
162,Собака на сене,,['СССР'],1977,"['комедия', 'мюзикл']",8.0,7.7
163,Американская история Х,American History X,['США'],1998,"['драма', 'криминал']",8.0,8.5
164,Вам и не снилось...,,['СССР'],1981,"['драма', 'мелодрама']",8.0,7.8
165,Аладдин,Aladdin,['США'],1992,"['мелодрама', 'мультфильмы', 'мюзикл', 'приключения', 'семейный', 'фэнтези']",8.0,8.0
166,В августе 44-го,,"['Россия', 'Беларусь']",2001,"['драма', 'боевик', 'военный', 'детектив']",8.0,7.4
167,Д'Артаньян и три мушкетера,,['СССР'],1979,"['мелодрама', 'комедия', 'исторический', 'музыкальный']",8.0,7.8
168,Умница Уилл Хантинг,Good Will Hunting,['США'],1997,['драма'],8.0,8.3
169,Балто,Balto,['США'],1995,"['драма', 'мультфильмы', 'приключения', 'семейный']",8.0,7.1
170,Бешеные псы,Reservoir Dogs,['США'],1992,"['триллер', 'криминал']",8.0,8.3
171,Схватка,Heat,['США'],1995,"['драма', 'триллер', 'боевик', 'криминал']",8.0,8.3
172,"Дом, в котором я живу",,['СССР'],1957,"['драма', 'военный']",8.0,7.7
173,Маугли,,['СССР'],1973,"['мультфильмы', 'приключения', 'семейный']",8.0,7.6
174,Век Адалин,The Age of Adaline,['США'],2015,"['драма', 'мелодрама']",8.0,7.2
175,Хроника пикирующего бомбардировщика,,['СССР'],1967,"['драма', 'военный']",8.0,7.7
176,За бортом,Overboard,['США'],1987,"['мелодрама', 'комедия']",8.0,6.9
177,Казино,Casino,"['США', 'Франция']",1995,"['драма', 'биография', 'криминал']",8.0,8.2
178,По семейным обстоятельствам,,['СССР'],1978,['комедия'],8.0,7.6
179,Доживем до понедельника,,['СССР'],1968,"['драма', 'мелодрама']",8.0,7.8
180,Невидимая сторона,The Blind Side,['США'],2009,"['драма', 'биография', 'спорт']",8.0,7.6
181,Двухсотлетний человек,Bicentennial Man,"['США', 'Германия']",1999,"['драма', 'мелодрама', 'семейный', 'фантастика', 'фэнтези']",8.0,6.9
182,Леди и бродяга,Lady and the Tramp,['США'],1955,"['мелодрама', 'комедия', 'мультфильмы', 'приключения', 'семейный']",8.0,7.3
183,Золотая антилопа,,['СССР'],1954,"['короткометражный', 'мультфильмы', 'приключения', 'фэнтези']",8.0,7.6
184,Ищите женщину,,['СССР'],1982,"['мелодрама', 'комедия', 'детектив']",8.0,7.7
185,Гран Торино,Gran Torino,"['США', 'Германия']",2008,['драма'],8.0,8.1
186,Сказка о царе Салтане,,['СССР'],1984,['детский'],8.0,7.3
187,"Варвара-краса, длинная коса",,['СССР'],1969,"['драма', 'мелодрама', 'комедия', 'детский', 'семейный', 'фэнтези']",8.0,7.2
188,Мой сосед Тоторо,Tonari no Totoro,['Япония'],1988,"['аниме', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",8.0,8.1
189,Нокдаун,Cinderella Man,['США'],2005,"['драма', 'биография', 'спорт']",8.0,8.0
190,Служили два товарища,,['СССР'],1967,"['драма', 'комедия', 'военный']",8.0,7.9
191,Андрей Рублев,,['СССР'],1966,"['драма', 'биография', 'исторический']",8.0,8.1
192,Битва за Москву,,"['СССР', 'Венгрия', 'Германия', 'Чешская Республика']",1985,"['драма', 'военный']",8.0,7.3
193,"Ко мне, Мухтар!",,['СССР'],1964,['драма'],8.0,7.7
194,Крестный отец 3,The Godfather: Part III,['США'],1990,"['драма', 'триллер', 'криминал']",8.0,7.6
195,Грозовые ворота,,['Россия'],2006,"['драма', 'военный']",8.0,7.3
196,Общество мертвых поэтов,Dead Poets Society,['США'],1989,['драма'],8.0,8.1
197,Малыш,The Kid,['США'],1921,"['драма', 'комедия', 'семейный']",8.0,8.2
198,Высота,,['СССР'],1957,['мелодрама'],8.0,7.1
199,Хористы,Les choristes,"['Германия', 'Франция', 'Швейцария']",2004,"['драма', 'музыкальный']",8.0,7.8
200,Одержимость,Whiplash,['США'],2014,"['драма', 'музыкальный']",8.0,8.5
201,Новые времена,Modern Times,['США'],1936,"['драма', 'мелодрама', 'комедия']",8.0,8.5
202,Эта замечательная жизнь,It's a Wonderful Life,['США'],1946,"['драма', 'семейный', 'фэнтези']",8.0,8.6
203,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,"['США', 'Новая Зеландия']",2002,"['боевик', 'приключения', 'фэнтези']",8.0,8.8
204,Вверх,Up,['США'],2009,"['драма', 'комедия', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",8.0,8.3
205,Прислуга,The Help,"['США', 'Индия', 'ОАЭ']",2011,['драма'],8.0,8.1
206,Терминал,The Terminal,['США'],2004,"['драма', 'мелодрама', 'комедия']",7.9,7.4
207,Приключения Буратино,,['СССР'],1976,"['комедия', 'детский', 'мюзикл', 'фэнтези']",7.9,7.5
208,Легенда №17,,['Россия'],2013,"['драма', 'биография', 'спорт']",7.9,7.4
209,Хоббит: Пустошь Смауга,The Hobbit: The Desolation of Smaug,"['США', 'Новая Зеландия']",2013,"['приключения', 'фэнтези']",7.9,7.8
210,Один дома,Home Alone,['США'],1990,"['комедия', 'семейный']",7.9,7.7
211,Темный рыцарь,The Dark Knight,"['США', 'Великобритания']",2008,"['драма', 'триллер', 'боевик', 'криминал']",7.9,9.0
212,Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,['США'],2008,"['драма', 'мелодрама', 'фантастика']",7.9,7.8
213,Я — легенда,I Am Legend,['США'],2007,"['драма', 'триллер', 'фантастика']",7.9,7.2
214,Железный человек,Iron Man,['США'],2008,"['боевик', 'приключения', 'фантастика']",7.9,7.9
215,Мстители,The Avengers,['США'],2012,"['боевик', 'приключения', 'фантастика']",7.9,8.0
216,Спасти рядового Райана,Saving Private Ryan,['США'],1998,"['драма', 'боевик', 'военный']",7.9,8.6
217,Крепкий орешек,Die Hard,['США'],1988,"['триллер', 'боевик']",7.9,8.2
218,Шерлок Холмс: Игра теней,Sherlock Holmes: A Game of Shadows,['США'],2011,"['комедия', 'триллер', 'боевик', 'детектив', 'приключения']",7.9,7.4
219,Джанго освобожденный,Django Unchained,['США'],2012,"['драма', 'вестерн']",7.9,8.5
220,Марсианин,The Martian,"['США', 'Великобритания']",2015,"['приключения', 'фантастика']",7.9,8.0
221,Как приручить дракона 2,How to Train Your Dragon 2,['США'],2014,"['комедия', 'мультфильмы', 'приключения', 'семейный', 'фэнтези']",7.9,7.8
222,Рататуй,Ratatouille,['США'],2007,"['комедия', 'мультфильмы', 'приключения', 'семейный']",7.9,8.1
223,Индиана Джонс: В поисках утраченного ковчега,Raiders of the Lost Ark,['США'],1981,"['боевик', 'приключения']",7.9,8.4
224,Исчезнувшая,Gone Girl,['США'],2014,"['драма', 'триллер', 'детектив']",7.9,8.1
225,Карнавальная ночь,,['СССР'],1956,"['мелодрама', 'комедия', 'мюзикл']",7.9,7.4
226,Реквием по мечте,Requiem for a Dream,['США'],2000,['драма'],7.9,8.3
227,Морозко,,['СССР'],1965,"['мелодрама', 'комедия', 'семейный', 'фэнтези']",7.9,6.3
228,Интервью с вампиром,Interview with the Vampire: The Vampire Chronicles,['США'],1994,"['драма', 'фэнтези']",7.9,7.5
229,Малышка на миллион,Million Dollar Baby,['США'],2004,['драма'],7.9,8.1
230,Апокалипсис,Apocalypto,['США'],2006,"['драма', 'боевик', 'приключения']",7.9,7.8
231,Последний самурай,The Last Samurai,['США'],2003,"['драма', 'боевик', 'военный', 'исторический', 'приключения']",7.9,7.8
232,Звездные войны: Эпизод 4 — Новая надежда,Star Wars,['США'],1977,"['боевик', 'приключения', 'фантастика', 'фэнтези']",7.9,8.6
233,Полосатый рейс,,['СССР'],1961,"['комедия', 'приключения', 'семейный']",7.9,7.3
234,Рапунцель: Запутанная история,Tangled,['США'],2010,"['мелодрама', 'комедия', 'мультфильмы', 'мюзикл', 'семейный', 'фэнтези']",7.9,7.7
235,Невероятные приключения итальянцев в России,,"['СССР', 'Италия']",1973,"['комедия', 'приключения']",7.9,7.6
236,Вечера на хуторе близ Диканьки,,['СССР'],1961,"['мелодрама', 'комедия', 'фэнтези']",7.9,7.5
237,Вокзал для двоих,,['СССР'],1982,['мелодрама'],7.9,7.8
238,Король говорит!,The King's Speech,['Великобритания'],2010,"['драма', 'биография', 'исторический']",7.9,8.0
239,Звездные войны: Эпизод 5 — Империя наносит ответный удар,Star Wars: Episode V — The Empire Strikes Back,['США'],1980,"['боевик', 'приключения', 'фантастика']",7.9,8.7
240,Жестокий романс,,['СССР'],1984,"['драма', 'мелодрама']",7.9,7.9
241,Хищник,Predator,['США'],1987,"['боевик', 'приключения', 'ужасы', 'фантастика']",7.9,7.8
242,Самая обаятельная и привлекательная,,['СССР'],1985,"['мелодрама', 'комедия']",7.9,7.4
243,Человек с бульвара Капуцинов,,['СССР'],1987,"['мелодрама', 'комедия', 'мюзикл']",7.9,7.6
244,Маска,The Mask,['США'],1994,"['комедия', 'фэнтези']",7.9,6.9
245,Реальная любовь,Love Actually,"['США', 'Великобритания', 'Франция']",2003,"['драма', 'мелодрама', 'комедия']",7.9,7.6
246,Снежная королева,,['СССР'],1957,"['драма', 'детский', 'мультфильмы', 'фэнтези']",7.9,7.5
247,Заложница,Taken,"['США', 'Великобритания', 'Франция']",2008,"['триллер', 'боевик', 'криминал']",7.9,7.8
248,Не может быть!,,['СССР'],1975,"['мелодрама', 'комедия', 'мюзикл']",7.9,7.7
249,Звездные войны: Эпизод 3 - Месть Ситхов,Star Wars: Episode III - Revenge of the Sith,['США'],2005,"['боевик', 'приключения', 'фантастика', 'фэнтези']",7.9,7.6
